gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
Terpenoid backbone biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,8.571428571428573,0.0
Oocyte meiosis,0.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0
Th17 cell differentiation,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,6.857142857142857,0.0,0.0,0.0,0.0,0.0,1.7142857142857142
Salivary secretion,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0
Osteoclast differentiation,1.2000000000000002,1.2000000000000002,0.0,0.0,1.2000000000000002,6.0,0.0,0.0,0.0,2.4000000000000004,0.0,0.0
Th1 and Th2 cell differentiation,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0
Glycerophospholipid metabolism,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
Tight junction,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,6.0,1.5,0.0,0.0
Glycerolipid metabolism,1.5,0.0,1.5,0.0,1.5,6.0,0.0,1.5,0.0,0.0,0.0,0.0
C-type lectin receptor signaling pathway,0.0,2.6666666666666665,0.0,0.0,1.3333333333333333,5.333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0
Dopaminergic synapse,4.0,1.3333333333333333,0.0,0.0,0.0,5.333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
NOD-like receptor signaling pathway,2.6666666666666665,0.0,0.0,0.0,0.0,5.333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0
ErbB signaling pathway,1.3333333333333333,5.333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.6666666666666665,0.0,1.3333333333333333
Purine metabolism,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,5.333333333333333,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0
Chemical carcinogenesis,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142
GnRH signaling pathway,0.0,5.142857142857143,0.0,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0
cGMP-PKG signaling pathway,1.0,1.0,1.0,0.0,1.0,5.000000000000001,0.0,2.0,0.0,1.0,0.0,0.0
Thyroid hormone signaling pathway,1.2000000000000002,4.800000000000001,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,1.2000000000000002,2.4000000000000004,0.0,0.0
Insulin signaling pathway,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002,0.0,2.4000000000000004,1.2000000000000002,0.0,1.2000000000000002,4.800000000000001,0.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC),4.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0
Steroid biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,3.0,4.5,1.5
Neurotrophin signaling pathway,1.5,3.0,0.0,0.0,0.0,4.5,1.5,0.0,0.0,1.5,0.0,0.0
Phosphatidylinositol signaling system,0.0,1.5,1.5,0.0,0.0,3.0,1.5,0.0,0.0,4.5,0.0,0.0
AMPK signaling pathway,1.090909090909091,1.090909090909091,1.090909090909091,0.0,1.090909090909091,2.181818181818182,0.0,0.0,0.0,1.090909090909091,4.363636363636364,0.0
Relaxin signaling pathway,1.090909090909091,1.090909090909091,0.0,0.0,1.090909090909091,4.363636363636364,0.0,1.090909090909091,1.090909090909091,2.181818181818182,0.0,0.0
Protein processing in endoplasmic reticulum,0.0,1.090909090909091,0.0,0.0,0.0,1.090909090909091,2.181818181818182,0.0,2.181818181818182,0.0,4.363636363636364,1.090909090909091
Cellular senescence,1.2000000000000002,1.2000000000000002,0.6000000000000001,0.6000000000000001,1.2000000000000002,4.2,0.6000000000000001,0.6000000000000001,0.0,1.2000000000000002,0.0,0.6000000000000001
Peroxisome,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0
Retrograde endocannabinoid signaling,0.0,1.3333333333333333,0.0,0.0,0.0,4.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,2.6666666666666665,0.0
Pancreatic secretion,0.0,0.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0
Ovarian steroidogenesis,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0
Serotonergic synapse,2.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0
Progesterone-mediated oocyte maturation,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0
Sphingolipid signaling pathway,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0
TGF-beta signaling pathway,0.0,1.3333333333333333,0.0,0.0,2.6666666666666665,4.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
Lysosome,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0
Longevity regulating pathway,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
Toll-like receptor signaling pathway,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0
Insulin resistance,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,4.0,0.0
VEGF signaling pathway,0.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0
Protein digestion and absorption,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,4.0,2.6666666666666665,0.0,1.3333333333333333,0.0,0.0,0.0,0.0
Melanogenesis,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.0,1.3333333333333333,4.0,0.0,1.3333333333333333,0.0,0.0
Bacterial invasion of epithelial cells,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0
Cardiac muscle contraction,2.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Cholinergic synapse,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,2.6666666666666665,0.0,1.3333333333333333,0.0,4.0,0.0,0.0
Circadian rhythm,2.6666666666666665,1.3333333333333333,0.0,0.0,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0
ECM-receptor interaction,4.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Drug metabolism,0.0,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002,1.2000000000000002,3.6,2.4000000000000004,1.2000000000000002,1.2000000000000002,0.0
Hypertrophic cardiomyopathy (HCM),3.6,1.2000000000000002,1.2000000000000002,0.0,2.4000000000000004,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002,0.0,1.2000000000000002
