pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,6,Fkbp4;Hspa5;St13;Hspb1;Hspa8;Hspa4l,10.000000000000002,9,19.642493861031586,0.9063193956434431,19.0
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,6,Fkbp4;Hspa5;St13;Hspb1;Hspa8;Hspa4l,10.000000000000002,9,19.642493861031586,0.9063193956434431,19.0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,7,Gabra3;Hspa8;Camkk2;Glul;Gria4;Nptn;Cacnb4,6.857142857142857,6,15.509535693362537,5.091357449185296,13.0
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,7,Mthfd2;Ptgs2;Slc2a1;Mthfd1l;Enpp2;Slc5a6;Aox1,6.857142857142857,6,13.92194583453982,4.50828419390848,13.0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,6,Rgcc;Rheb;Cdkn1a;Rfc3;Taf4b;Igfbp3,6.0,5,9.945243300886055,4.8549842596239134,11.0
REACTOME_RHOA_GTPASE_CYCLE,6,Arhgap10;Pld1;Prex1;Arhgap20;Fam13a;Arhgap18,6.0,0,2.2248814088331756,8.58925728501506,1.0
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,6,Fmo3;Fmo1;Fmo2;Ptgs1;Aldh3a1;Cyp1b1,6.0,7,16.149216598888135,4.2489805249090224,15.0
REACTOME_BIOLOGICAL_OXIDATIONS,8,Fmo3;Mgst1;Fmo1;Fmo2;Ptgs1;Aldh3a1;Cyp1b1;Gsta3,6.0,7,15.267825334403863,4.043170823932321,15.0
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,9,Mthfd2;Ptgs2;Slc2a1;Mthfd1l;Enpp2;Slc5a6;Aox1;Gpc3;Lpl,5.333333333333333,6,11.784759611184008,5.856601288282136,13.0
REACTOME_NEURONAL_SYSTEM,9,Gabra3;Hspa8;Camkk2;Glul;Gria4;Nptn;Kcnd3;Cacnb4;Sipa1l1,5.333333333333333,6,14.16152731530585,5.3138938030165015,13.0
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,7,Hspa5;Dnajb11;Ccl2;Pdia6;Hyou1;Creb3l1;Ern1,5.142857142857143,10,22.86876737773165,4.626209344133978,21.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,7,Dbp;Serpine1;Bhlhe41;Arntl;Bhlhe40;Clock;Npas2,5.142857142857143,0,7.180293158642269,5.7494766912955235,1.0
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,7,Cpt1a;G0s2;Nr1d1;Arntl;Hmgcs2;Clock;Npas2,5.142857142857143,0,5.883415303169938,5.62937380106349,1.0
REACTOME_NEUTROPHIL_DEGRANULATION,10,Aldh3b1;Mgst1;Plaur;Pld1;Dsp;Magt1;Hspa8;Prdx6;Lgals3;Cd55,4.800000000000001,5,9.159124809840685,4.653604571952447,11.0
REACTOME_SIGNALING_BY_WNT,8,Wnt2;Wif1;Fzd1;Wnt4;Leo1;Sost;Wnt10b;Psmb8,4.5,3,7.639458366695331,4.462378461713133,7.0
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,8,Col5a3;Icam2;Spp1;Thbs1;Lum;Col8a1;Fbn1;Col4a3,4.5,4,9.246473482714304,4.026886066721482,9.0
REACTOME_MUSCLE_CONTRACTION,8,Sorbs1;Kat2b;Tnnt2;Myh11;Fxyd6;Atp1b1;Kcnd3;Tcap,4.5,3,10.3840152025329,3.984940388765852,7.0
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,9,Mapk6;Cdc14a;Hspb1;Hbegf;Tek;Ncam1;Cdc42ep3;Btc;Psmb8,4.0,2,5.275821371483811,4.773352406055956,5.0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,6,Kat2b;Ccn2;Spp1;Cdkn1a;Rbpj;Psmb8,4.0,4,6.347706737300095,5.938820328941171,9.0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,6,Kat2b;Lgals3;Lmo2;Thbs1;Ctsk;Psmb8,4.0,3,9.474515382204133,2.612268113887847,7.0
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,6,Rgs17;Hbegf;Ptgfr;Mmp3;Nmb;Grk5,4.0,7,19.30557251644734,7.04695459488011,15.0
REACTOME_RHO_GTPASE_CYCLE,12,Arhgap10;Pld1;Dsp;Prex1;Rhoj;Dock10;Arhgap20;Fam13a;Arhgap18;Rhoc;Cdc42ep3;Ckb,4.0,0,2.2008644653075433,5.903452669597545,1.0
REACTOME_CDC42_GTPASE_CYCLE,6,Arhgap10;Pld1;Prex1;Dock10;Arhgap20;Cdc42ep3,4.0,0,0.31659578895381635,9.546931422412214,1.0
REACTOME_RAC1_GTPASE_CYCLE,6,Arhgap10;Pld1;Prex1;Dock10;Arhgap20;Fam13a,4.0,0,12.907432156606518,6.402726277268629,1.0
REACTOME_COLLAGEN_DEGRADATION,6,Col5a3;Ctsk;Col8a1;Mmp3;Mmp14;Col4a3,4.0,1,7.446447665018624,8.427776618817422,3.0
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,6,Wif1;Fzd1;Wnt4;Leo1;Sost;Psmb8,4.0,3,6.447394636505058,5.005886431520779,7.0
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,6,Wnt2;Adm;Fzd1;Wnt4;Wnt10b;Cd55,4.0,3,7.508580916470444,3.337640065592062,7.0
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,6,Vcan;Has1;St3gal4;Lum;Gpc3;Bgn,4.0,3,10.674039294102913,4.358037635112405,7.0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,10,Eln;Col5a3;Spp1;Ctsk;Col8a1;Mmp3;Mmp14;Adamts4;Fbn1;Col4a3,3.6,0,4.098048425239962,5.780069883066622,1.0
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,7,Vcan;Spp1;Pdia6;Igfbp3;Gpc3;Igfbp7;Fbn1,3.4285714285714284,3,7.673751098803362,4.672193120011562,7.0
REACTOME_ECM_PROTEOGLYCANS,7,Vcan;Col5a3;Serpine1;Lum;Ncam1;Col4a3;Bgn,3.4285714285714284,3,9.755468006764488,4.939644244616125,7.0
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,7,Slc2a1;Slc5a6;Slc4a10;Slc10a6;Slc43a1;Slco3a1;Apod,3.4285714285714284,3,12.185793328465763,6.516724419624099,7.0
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,7,Usp13;Rheb;Camkk2;Hbegf;Cdkn1a;Btc;Psmb8,3.4285714285714284,2,6.56223284546599,6.078520713861759,5.0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,7,Col5a3;Lox;Loxl2;Col8a1;Mmp3;Col4a3;Col27a1,3.4285714285714284,1,5.695730843483384,6.790271753832942,3.0
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,7,Ptgs2;Ccl2;Hspa8;Cdkn1a;Mmp3;Ccl11;Cebpd,3.4285714285714284,0,9.052855080412488,7.798200460906969,1.0
REACTOME_ESR_MEDIATED_SIGNALING,7,Fkbp4;Fkbp5;Hspb1;Hbegf;Kat2b;Mmp3;Btc,3.4285714285714284,2,3.2126065912688286,7.193835560469353,5.0
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,11,Fkbp4;Pdk4;Fkbp5;Hspb1;Cpt1a;Hbegf;Kat2b;Mmp3;Dhrs3;Btc;Apod,3.2727272727272725,3,6.12630537453556,6.655300937419062,7.0
REACTOME_GPCR_LIGAND_BINDING,15,Wnt2;Ccl7;Ccl2;Ece1;Ptgfr;Nln;Adm;Fzd1;Wnt4;Cxcl5;Npy1r;Wnt10b;Ccl11;Cd55;Nmb,3.2,3,8.225459571569372,4.997992057843675,7.0
REACTOME_COLLAGEN_FORMATION,8,Col5a3;Lox;Loxl2;Adamts14;Col8a1;Mmp3;Col4a3;Col27a1,3.0,1,7.940981964351913,6.5969963487550105,3.0
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,8,Ccl7;Ccl2;Ece1;Nln;Cxcl5;Npy1r;Ccl11;Nmb,3.0,3,7.968052136095629,5.647031973332158,7.0
REACTOME_SIGNALING_BY_INTERLEUKINS,12,Crlf1;Ptgs2;Ccl2;Hspa8;Socs2;Cntfr;Cdkn1a;Mmp3;Pdcd4;Ccl11;Psmb8;Cebpd,3.0,4,11.403333718973107,5.298446840589873,9.0
REACTOME_CIRCADIAN_CLOCK,12,Dbp;Serpine1;Cpt1a;Bhlhe41;Nr1d1;Per2;Arntl;Bhlhe40;Clock;Nfil3;Npas2;Per1,3.0,0,8.583275164020359,5.717716791661044,1.0
REACTOME_METABOLISM_OF_CARBOHYDRATES,9,Vcan;Has1;St3gal4;Slc2a1;Lum;Sord;Gpc3;Hk2;Bgn,2.6666666666666665,3,10.45337834128125,5.7143724848089645,7.0
REACTOME_FATTY_ACID_METABOLISM,9,Ptgs2;Ptgs1;Cpt1a;Scp2;Cyp1b1;Dbi;Acaa2;Acsf3;Eci2,2.6666666666666665,3,9.430176357552638,4.222132435321619,7.0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,9,Ccl7;Ccl2;Ece1;Ptgfr;Nln;Cxcl5;Npy1r;Ccl11;Nmb,2.6666666666666665,3,9.427135892900218,6.142779780341887,7.0
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,9,Rpl31;Gcat;Ethe1;Aspa;Glul;Ckb;Psmb8;Dio2;Rpl17,2.6666666666666665,1,8.517312587362676,7.513921624094998,3.0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,21,Vcan;Eln;Col5a3;Serpine1;Icam2;Lox;Spp1;Loxl2;Thbs1;Adamts14;Lum;Ctsk;Col8a1;Ncam1;Mmp3;Mmp14;Adamts4;Fbn1;Col4a3;Bgn;Col27a1,2.2857142857142856,4,7.3390943728808775,5.828648919737911,9.0
REACTOME_O_LINKED_GLYCOSYLATION,6,St3gal4;Thbs1;Adamts14;Adamts4;Spon2;Adamtsl2,2.0,0,10.079741703350944,5.900728831761386,1.0
