gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000002,2.0,0.0
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000002,2.0,0.0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,0.0,1.7142857142857142,0.0,3.4285714285714284
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,6.857142857142857,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,2.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
REACTOME_RHOA_GTPASE_CYCLE,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0
REACTOME_BIOLOGICAL_OXIDATIONS,0.0,0.0,0.0,1.5,0.0,1.5,0.0,6.0,1.5,0.0,0.0,1.5
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,5.333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0
REACTOME_NEURONAL_SYSTEM,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,5.333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,5.142857142857143,1.7142857142857142
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,5.142857142857143,0.0,0.0,0.0,3.4285714285714284,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,5.142857142857143,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0
REACTOME_NEUTROPHIL_DEGRANULATION,0.0,0.0,2.4000000000000004,2.4000000000000004,0.0,4.800000000000001,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0
REACTOME_SIGNALING_BY_WNT,0.0,0.0,0.0,4.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,3.0
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.0,1.5,1.5,0.0,4.5,0.0,3.0,1.5,0.0,0.0,0.0,0.0
REACTOME_MUSCLE_CONTRACTION,0.0,0.0,0.0,4.5,1.5,3.0,0.0,1.5,0.0,1.5,0.0,0.0
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,0.0,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0
REACTOME_RHO_GTPASE_CYCLE,4.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
REACTOME_CDC42_GTPASE_CYCLE,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
REACTOME_RAC1_GTPASE_CYCLE,4.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
REACTOME_COLLAGEN_DEGRADATION,2.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,2.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,3.6,2.4000000000000004,1.2000000000000002,0.0,1.2000000000000002,0.0,2.4000000000000004,1.2000000000000002,0.0,0.0,0.0,0.0
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.0,0.0,1.7142857142857142,3.4285714285714284,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142
REACTOME_ECM_PROTEOGLYCANS,0.0,1.7142857142857142,0.0,3.4285714285714284,1.7142857142857142,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,0.0
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,0.0,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,1.7142857142857142,0.0,3.4285714285714284,0.0,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,0.0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,1.7142857142857142,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,0.0
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,3.4285714285714284,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0,1.7142857142857142,0.0,0.0
