tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
GFI1 (human),7,Pfkfb3;Lrrc8a;Cd40;Pes1;Fkbp5;Fam107a;Plaur,6.857142857142857,5,11.686848290627537,2.2470482992483847,11.0
HMGA1 (mouse),7,Mettl7a1;Dusp1;Rab27b;Gbp3;Ttyh3;Sox18;Ptpn18,6.857142857142857,6,12.228926580431132,2.7015123726141197,13.0
Pax2 (mouse),6,Ly6e;Cyth1;Slco2a1;Macf1;Tsc22d3;Dbp,6.0,6,10.926058470263053,4.868299944747133,13.0
MYC (mouse),13,Bhlhe40;Slc7a2;Gm1673;Tef;Pcgf2;Slco2a1;Fkbp5;Lefty1;Foxo3;Pfkfb3;Fndc1;Klf9;Myh11,5.538461538461539,5,11.288198873167216,3.5062579352793817,11.0
NR1H3 (human),7,Dgcr2;Tspan4;Cd40;Nr1d2;Nqo1;Plaur;Slc4a4,5.142857142857143,5,10.456240937142013,1.9978892125064083,11.0
FOXF2 (human),7,Leo1;Lrrc8a;Phkg2;Nr1d1;Nqo1;Tnxb;Tmem101,5.142857142857143,4,10.851412799467607,4.112624110188348,9.0
USF1 (human),15,Nr2f2;Ttyh3;Bhlhe40;Slc7a2;Psma3;Foxo3;Hnrnpa1;Arhgef3;Per3;Tef;Nr1d2;Sox18;Fkbp5;Tnxb;Rbm3,4.800000000000001,5,10.829281738710751,1.9902702204663734,11.0
NRF1 (human),10,Pfkfb3;Fundc1;Hnrnpa1;Mfsd11;Pthlh;Cyth1;Tef;Nr1d1;Phf23;Chmp2b,4.800000000000001,6,12.733132378258869,3.6037173872316086,13.0
KLF5 (human),13,Mylk;Spsb1;Zbtb16;Foxo3;Lrrc8a;Flt4;Mfsd11;Enah;Cd40;Tef;Junb;Adamtsl5;Rab43,4.615384615384616,5,13.364879528812265,3.393474093831343,11.0
HNF1A (human),13,Ccdc3;Frzb;Kctd12;Hnrnpa1;Ccdc82;Timp4;Grn;Cdkn1a;Gsn;Nt5e;Myh9;Fundc1;Enah,4.615384615384616,8,17.85029900019579,3.4214370470603113,17.0
CREB1 (human),26,Dusp1;Fos;Egr1;Gprin3;Tef;Nr1d2;Grn;Gsn;Cd302;Edn1;Zcchc24;Slc4a4;Rbm3;Spsb1;Foxo3;Dgcr2;Tspan4;Klk10;Ramp2;Pes1;Junb;Clec3b;Fam107a;Glul;Tsc22d3;Tnxb,4.615384615384616,6,12.999080101507868,3.2941389459848693,13.0
CEBPB (human),8,Bhlhe40;Slc7a2;Pfkfb3;Qsox1;Atp2b2;Junb;Glul;Plaur,4.5,5,11.268840888403375,2.020860560762815,11.0
POU2F1 (human),8,Fam135a;Mylk;Slc7a2;Smagp;Foxo3;Kctd12;Tagln;Anxa3,4.5,10,15.020792539240526,5.6665172396292744,21.0
TCFAP2A (human),19,Nr2f2;Bhlhe40;Fos;Spsb1;Foxo3;Pfkfb3;Lrrc8a;Mfsd11;Ntn1;Egr1;Tspan4;Nfil3;Per3;Per2;Nr1d2;Junb;Clip1;Bcl2l1;Map4k4,4.421052631578948,5,12.46229799875986,3.8561055358906797,11.0
MEF2A (human),19,Efemp1;Ogn;Arhgef3;Tef;Grn;Cdkn1a;Fam135a;Mylk;Leo1;Lrrc8a;Enah;Rpa3;Ramp2;Pes1;Igfbp5;Klf9;Abcg2;Tnxb;Ncam1,4.421052631578948,5,12.427967767770035,4.051626663557639,11.0
RELB (human),11,Spsb1;Hnrnpa1;Tspan4;Pes1;Mknk2;Atp2b2;Eln;Phf23;Tpm2;Tpt1;Lox,4.363636363636364,6,14.424888358947443,3.5862139178508547,13.0
HIF1A (human),11,Grn;Fkbp5;Bcl2l1;Edn1;Myh9;Rnaseh2b;Leo1;Lrrc8a;Klk11;Nqo1;Tmem101,4.363636363636364,7,14.621394528121392,4.742603049403619,15.0
CBEPA (mouse),11,Efemp1;Kctd12;Phkg2;Acta2;Tpt1;Lmo2;Selp;Fndc1;Tspan4;Abcg2;Ncam1,4.363636363636364,5,11.779400765885589,3.9779337485479074,11.0
LTF (human),11,Bhlhe40;Smpd3;Fundc1;Mgp;Cytl1;Cyth1;Nr1d2;Cdkn1a;Bcl2l1;Vipr1;Hlf,4.363636363636364,7,14.644187766116044,4.192327439232134,15.0
NRF1 (mouse),11,Hnrnpa1;Mfsd11;Cyth1;Tef;Timp4;Grn;Edc3;Psma3;Pfkfb3;Ctla2b;Tnxb,4.363636363636364,5,11.433998669433882,2.8432401712026243,11.0
TFAP2D (human),11,Plscr2;Ttyh3;Spsb1;Smagp;Smpd3;Leo1;Flt4;Nr1d1;Adamtsl5;Abcg2;Slc4a4,4.363636363636364,6,11.681189505374054,5.1928645333045,13.0
PCBP1 (human),25,Ttyh3;Dusp1;Bhlhe40;Spsb1;Foxo3;Pfkfb3;Dgcr2;Flt4;Mfsd11;Lpar1;Tspan4;Enah;Per3;Pthlh;Tef;Nr1d2;Sox18;Junb;Rab43;Cebpb;Macf1;Glul;Zcchc24;Myh9;Dbp,4.32,5,11.74012395589007,3.843207693200826,11.0
E2F6 (human),14,Nr2f2;Fos;Foxo3;Pfkfb3;Tspan4;Per3;Atp2b2;Nr1d2;Junb;Eln;Tpm2;Cebpb;Lox;Slc4a4,4.2857142857142865,5,12.869539524932033,4.229348146561261,11.0
ZBTB16 (human),14,Lars2;Efemp1;Cd9;Timp4;Adamtsl5;Edc3;Nt5e;Slc4a4;Rbm3;Leo1;Lrrc8a;Rpa3;Cald1;Gpm6a,4.2857142857142865,5,13.162962050818287,5.1644571683326665,11.0
SNAI1 (human),12,Ttyh3;Spsb1;Ly6e;Cd40;Tef;Nr1d1;Ier2;Cdkn1a;Sost;Tsc22d3;Tnxb;Dbp,4.0,6,12.2370294386684,4.122361552078068,13.0
ELK1 (human),12,Nr2f2;Zbtb16;Frzb;Pfkfb3;Efemp1;Hnrnpa1;Tspan4;Per2;Acta2;Phf23;Edn1;Tnxb,4.0,6,11.762823145944994,4.828458357432409,13.0
ATF4 (human),15,Fam135a;Dusp1;Lefty1;Fos;Maf;Lrrc8a;Per2;Fkbp5;Fam107a;Klf9;Cebpb;Tsc22d3;Abcg2;Myh11;Dbp,4.0,6,12.548610877429539,2.957250008546891,13.0
TFAP2C (human),12,Tagln;Tspan4;Arhgef3;Per2;Cyth1;Junb;Grn;Pcgf2;Rab43;Cebpb;F2rl1;Lmo2,4.0,6,13.67429082847466,3.9057254613856474,13.0
RUNX2 (human),12,Lars2;Lrrc8a;Flt4;Mknk2;Ubl5;Sost;Cd302;Gpm6a;Glul;Tsc22d3;Lmo2;Dbp,4.0,6,9.306018642074516,4.529991102132066,13.0
NR5A1 (human),9,Pfkfb3;Pes1;Cald1;Eln;Gsn;Slco2a1;Cebpb;Gpm6a;Thra,4.0,5,10.137706418537752,7.679968088555419,11.0
TBP (mouse),9,Lhfp;Postn;Gkn3;Pes1;Gpm6a;Ogn;Phkg2;Spsb1;Tsc22d3,4.0,6,13.786692564714453,4.621679315651569,13.0
TCF3 (human),12,Ttyh3;Spsb1;Ly6e;Cd40;Tef;Nr1d1;Ier2;Cdkn1a;Sost;Tsc22d3;Tnxb;Dbp,4.0,6,12.2370294386684,4.122361552078068,13.0
STAT5B (mouse),12,Gm1673;Fos;Egr1;Aqp1;Nt5e;Chmp2b;Myh9;Rbm3;Qsox1;Rpa3;Ramp2;Fam107a,4.0,6,13.356330354019468,4.589937555725383,13.0
Gata1 (mouse),9,Plscr2;Phkg2;Rab27b;Nsg1;Lox;Hlf;Gngt2;Igfbp5;Serinc3,4.0,3,9.593257263202503,4.330818698426529,7.0
NR3C1 (human),21,Uaca;Slc7a2;Fos;Ly6e;Hnrnpa1;Cytl1;Mknk2;Cyth1;Grn;Cdkn1a;Fkbp5;Tpt1;Zcchc24;Nt5e;Slc4a4;Klk11;Gngt2;Ramp2;Clec3b;Serinc3;Sost,4.0,6,14.590647515547978,3.501826877836719,13.0
ZBTB7A (human),18,Ccdc3;Fos;Foxo3;Dgcr2;Fus;Mfsd11;Egr1;Lpar1;Tspan4;Qsox1;Per3;Sox18;Junb;Phf23;Cdkn1a;Vipr1;Glul;Myh9,4.0,5,13.185875133463492,4.241997086872815,11.0
