tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
NR2F1 (human),6,Hexb;Tpst2;Cd163;Frmd4b;Cx3cr1;Dbp,8.0,6,12.753087090113649,3.4985019895962477,13.0
PGR (human),7,Epb41l1;Stap1;Frmd4b;Tsc22d3;Sgk1;Lpl;Dbp,6.857142857142857,6,14.027125834943362,4.7243356871888516,13.0
RELA (mouse),8,Egr1;Bcl2l1;Polr2l;Rbm3;Glcci1;Per3;Tsc22d3;Adrb2,6.0,7,13.453494254887655,3.000575082059868,15.0
AHR (human),6,Tpst2;Bccip;Frmd4b;Polr2l;Nfkbiz;Ddit4,6.0,6,13.685378887796887,2.944398345765628,13.0
Prrx2 (mouse),6,Csrnp1;Stap1;Retnla;Clec4n;Slfn8;Nfkbiz,6.0,10,22.688462121095178,4.331242555993909,21.0
NR1H3 (human),6,Epb41l1;Tpst2;Bccip;Ahnak;Nr1d2;Trpv4,6.0,5,13.03796170526554,3.042290827162466,11.0
STAT1 (human),6,Fkbp5;Frmd4b;Lpl;Dbp;Glcci1;Nfkbiz,6.0,6,15.108320214174263,4.360805503158737,13.0
TBP (mouse),8,Stap1;Samd9l;Sgk1;Nfkbiz;Pdgfc;Frmd4b;Tlr13;Tsc22d3,6.0,6,15.836055904764084,4.884874789035724,13.0
SP1 (human),8,Pdgfc;Per3;Tef;Nr1d2;Polr2l;Glul;Sgk1;Dbp,6.0,7,13.483090692945225,1.4518107057913698,15.0
TEAD4 (human),6,Pdgfc;Tpst2;Tef;Nr1d2;Polr2l;Dbp,6.0,7,13.449924044720087,1.5232074170587468,15.0
CBEPB (mouse),6,Cd163;Nfkbiz;Retnla;Glcci1;Ccl12;Tsc22d3,6.0,7,15.359253210713469,4.7855268963408735,15.0
ESR1 (human),6,Arl4d;Tpst2;Nr1d2;Fkbp5;Polr2l;Ddit4,6.0,6,12.037024486617254,1.8498782160609528,13.0
PCBP1 (human),8,Pdgfc;Per3;Tef;Nr1d2;Polr2l;Glul;Trpv4;Dbp,6.0,7,13.397471380065378,1.5423694800483427,15.0
ELF3 (human),8,Acot13;Fkbp5;Rnf169;Cx3cr1;Sgk1;Trpv4;Pmf1;Dbp,6.0,6,10.445779607030186,3.77531137280519,13.0
CPEB1 (mouse),7,Pdgfc;Hsp90b1;Pmf1;Retnla;Per3;Klf9;Sgk1,5.142857142857143,7,14.693289760189074,6.038488323122239,15.0
POU2F1 (mouse),7,Fkbp5;Lpl;Rbm3;Ccnd1;Clec4n;Tsc22d3;Sgk1,5.142857142857143,6,12.603087081271683,4.141039599861018,13.0
E2F1 (mouse),7,Hsp90b1;Egr1;Fkbp5;Lpl;Ahnak;Slfn8;Dock4,5.142857142857143,10,19.421936206874687,3.3452009997373304,21.0
NFYA (mouse),7,Pdgfc;Hsp90b1;Pmf1;Retnla;Per3;Klf9;Sgk1,5.142857142857143,7,14.693289760189074,6.038488323122239,15.0
TEAD2 (human),7,Glcci1;Csrnp1;Per3;Gpr146;Polr2l;Nfkbiz;Pmf1,5.142857142857143,7,15.148663110000847,4.981453754782342,15.0
NFYB (mouse),7,Pdgfc;Hsp90b1;Pmf1;Retnla;Per3;Klf9;Sgk1,5.142857142857143,7,14.693289760189074,6.038488323122239,15.0
IRF8 (human),7,Egr1;Nr1d2;B3galnt1;Ifi30;Bccip;Tusc2;Parp14,5.142857142857143,4,11.241576176967914,4.70461440247184,9.0
ZNF148 (human),7,Rrad;Nr1d2;Polr2l;Trpv4;Ifi30;Ccnd2;Gpr146,5.142857142857143,5,11.348286718852059,3.9903298317826823,11.0
USF2 (human),12,Tef;Fkbp5;Dbp;Per3;Ccnd2;Rnf169;Hsp90b1;Nr1d2;Frmd4b;Trpv4;Tusc2;Tsc22d3,5.000000000000001,6,13.304491138382978,3.2041050600339354,13.0
PITX2 (human),10,Fkbp5;Rbm3;Emp1;Hexb;Tpst2;Ldlr;Trpv4;Psmc1;Sap18;Tusc2,4.800000000000001,6,11.885955573029655,3.385494247284858,13.0
MZF1 (human),8,Epb41l1;Egr1;Ccnd2;Nr1d2;Gpr146;Rnf169;Cx3cr1;Trpv4,4.5,5,14.089252793840123,4.920350386494537,11.0
MAX (human),8,Hsp90b1;Tef;Nr1d2;Fkbp5;Trpv4;Per3;Ccnd2;Gpr146,4.5,5,14.089597799466148,3.781318275657727,11.0
NFIA (human),8,Ifi30;Socs3;Tef;Fkbp5;Tusc2;Cx3cr1;Sgk1;Adrb2,4.5,4,11.609344652733359,4.531206894749344,9.0
ATF4 (human),8,Hsp90b1;Arl4d;Csrnp1;Gpr146;Fkbp5;Klf9;Tsc22d3;Dbp,4.5,6,13.486639717644461,4.416346083849752,13.0
YY1 (human),16,Arl4d;Rrad;Fkbp5;Dbp;Stap1;Hexb;Socs3;Bccip;Mmp9;Gpr146;Cd163;Glul;Sgk1;Nfkbiz;Tpst2;Nr1d2,4.5,6,11.854456861428103,4.3665106630857515,13.0
SREBF1 (mouse),8,Pdgfc;Hsp90b1;Trpv4;Pmf1;Retnla;Per3;Klf9;Sgk1,4.5,7,13.6895699600049,5.543351962111003,15.0
SP3 (human),8,Fam118a;Per3;Tpst2;Tef;Nr1d2;Polr2l;Glul;Sgk1,4.5,6,12.958545112580605,1.397241559337212,13.0
WT1 (human),11,Pdgfc;Epb41l1;Arl4d;Egr1;Csrnp1;Tpst2;Nr1d2;Polr2l;Per3;Cx3cr1;Sgk1,4.363636363636364,7,14.235527345316086,4.463465066366312,15.0
PPARG (human),11,Tef;Fkbp5;Bccip;Samd9l;Sgk1;Epb41l1;Tpst2;Ldlr;Frmd4b;Glcci1;Tusc2,4.363636363636364,6,13.521869794022855,3.748660089972037,13.0
PLAU (human),6,Egr1;Ifi30;Gpr146;Tsc22d3;Adrb2;Dbp,4.0,4,11.839623854799523,3.1760669033953217,9.0
FOXJ1 (human),6,Pdgfc;Arl4d;Samd9l;Tusc2;Klf9;Sgk1,4.0,4,13.064825398416852,4.558951467945135,9.0
TCFAP2A (human),9,Egr1;Per3;Ccnd2;Nr1d2;Bcl2l1;Polr2l;Sgk1;Trpv4;Nfkbiz,4.0,7,15.110982497365185,3.7249049167897947,15.0
FOXL1 (human),15,Arl4d;Tef;B3galnt1;Stap1;Mgp;Per3;Samd9l;Cd163;Sgk1;Tpst2;Polr2l;Trpv4;Sap18;Klf9;Arhgap19,4.0,7,13.12859962707273,3.996385089177592,15.0
En1 (mouse),6,Emp1;Ifi30;Per3;Ccnd2;Ldlr;Parp14,4.0,11,17.87872455502173,5.897945965877225,23.0
BRCA1 (human),6,Bcl2l1;Trpv4;Ifi30;Cd163;Cx3cr1;Sgk1,4.0,7,11.960540479658025,3.992467025740342,15.0
RBPJ (human),6,Stap1;Mmp9;Gpr146;Fkbp5;Sgk1;Adrb2,4.0,6,10.199928666044537,4.327671094249498,13.0
HINFP (human),15,Epb41l1;Hsp90b1;Egr1;Rrad;Tef;Nr1d2;Polr2l;Pmf1;Per3;Samd9l;Ccnd2;Cd163;Parp14;Tsc22d3;Nfkbiz,4.0,7,16.625501606463494,5.442133406419296,15.0
SAMD9L (human),6,Fam118a;Egr1;Rrad;Frmd4b;Adrb2;Trpv4,4.0,5,11.357403786933517,3.976018293382724,11.0
SMARCA2 (human),6,Fam118a;Rrad;Rnf169;Bcl2l1;Tsc22d3;Trpv4,4.0,5,11.646847670117577,2.5839050134443733,11.0
YY1 (mouse),6,Egr1;Fkbp5;Per3;Rnf169;Cx3cr1;Parp14,4.0,6,16.822216768054325,5.591015106597105,13.0
RELA (human),12,Hsp90b1;Egr1;Fkbp5;Polr2l;Dbp;Rbm3;B3galnt1;Emp1;Socs3;Gpr146;Glul;Nfkbiz,4.0,6,14.093902740123465,4.37913285542307,13.0
TP63 (human),9,Epb41l1;Hexb;Socs3;Tpst2;Fkbp5;Tusc2;Ldlr;Bcl2l1;Rbm3,4.0,6,13.161393983857405,4.068175073903271,13.0
NR3C1 (human),6,Fkbp5;Ifi30;Samd9l;Cd163;Cx3cr1;Nfkbiz,4.0,10,17.39055390568832,7.776327709410607,21.0
CBEPA (human),6,Nr1d2;Tusc2;Cx3cr1;Sgk1;Trpv4;Dbp,4.0,5,10.951602271448442,3.3685029047245836,11.0
