gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
SPIB (human),3.0,1.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.5
Pdx1 (mouse),0.0,0.0,0.0,6.0,0.0,0.0,1.5,1.5,0.0,3.0,0.0,0.0
HNF4A (mouse),1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,5.333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,2.6666666666666665
PCBP1 (human),0.0,0.0,0.0,1.125,1.125,5.25,3.0,0.375,0.375,0.0,0.375,0.375
NR1I2 (human),0.0,0.5714285714285714,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.5714285714285714,5.142857142857143,0.5714285714285714,0.0,0.0,0.5714285714285714,1.1428571428571428
SOX10 (mouse),0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,5.142857142857143,0.0,0.0,0.0,1.7142857142857142,0.0
GFI1 (human),0.8,0.0,0.0,1.6,0.0,0.8,4.800000000000001,0.8,0.8,0.8,0.8,0.8
SP3 (human),0.0,0.0,0.0,0.7741935483870968,1.1612903225806452,4.645161290322581,3.870967741935484,0.3870967741935484,0.7741935483870968,0.0,0.0,0.3870967741935484
AHR (mouse),0.0,0.0,0.0,0.0,1.5,0.0,4.5,3.0,1.5,0.0,0.0,1.5
KLF5 (human),0.5454545454545455,0.0,0.0,1.090909090909091,1.090909090909091,2.181818181818182,4.363636363636364,0.0,1.090909090909091,1.090909090909091,0.0,0.5454545454545455
MTF1 (human),0.42857142857142855,0.8571428571428571,0.0,1.7142857142857142,1.2857142857142858,1.7142857142857142,4.2857142857142865,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571
MYC (human),0.0,0.0,0.7058823529411765,0.7058823529411765,2.4705882352941178,4.23529411764706,2.4705882352941178,0.7058823529411765,0.35294117647058826,0.35294117647058826,0.0,0.0
CBEPA (human),0.75,0.375,0.0,1.125,2.25,4.125,1.125,1.125,0.0,0.0,0.0,1.125
SP1 (human),0.34285714285714286,0.0,0.0,1.0285714285714287,1.0285714285714287,4.114285714285715,3.4285714285714284,1.0285714285714287,0.34285714285714286,0.0,0.0,0.6857142857142857
REL (human),2.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
