gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
NR2F1 (human),2.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
PGR (human),0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,1.7142857142857142,0.0,0.0,0.0,3.4285714285714284
RELA (mouse),0.0,0.0,0.0,0.0,3.0,0.0,1.5,6.0,0.0,1.5,0.0,0.0
AHR (human),0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0
Prrx2 (mouse),0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0
NR1H3 (human),0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0
STAT1 (human),0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0
TBP (mouse),0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,0.0,0.0,3.0,1.5
SP1 (human),0.0,0.0,0.0,0.0,0.0,1.5,4.5,6.0,0.0,0.0,0.0,0.0
TEAD4 (human),0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0
CBEPB (mouse),0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0
ESR1 (human),0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0
PCBP1 (human),0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0
ELF3 (human),1.5,0.0,0.0,3.0,0.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0
CPEB1 (mouse),0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,1.7142857142857142,0.0
POU2F1 (mouse),0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,5.142857142857143,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
E2F1 (mouse),0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,5.142857142857143,1.7142857142857142
NFYA (mouse),0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,1.7142857142857142,0.0
TEAD2 (human),0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,5.142857142857143,0.0,0.0,3.4285714285714284,0.0
NFYB (mouse),0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,1.7142857142857142,0.0
IRF8 (human),0.0,0.0,0.0,0.0,5.142857142857143,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142
ZNF148 (human),0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,5.142857142857143,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0
USF2 (human),0.0,0.0,0.0,0.0,1.0,2.0,5.000000000000001,2.0,0.0,0.0,2.0,0.0
PITX2 (human),0.0,0.0,0.0,0.0,3.6,1.2000000000000002,4.800000000000001,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002
MZF1 (human),1.5,0.0,0.0,0.0,0.0,4.5,1.5,1.5,0.0,1.5,1.5,0.0
MAX (human),0.0,0.0,0.0,0.0,0.0,4.5,1.5,3.0,0.0,0.0,3.0,0.0
NFIA (human),1.5,0.0,0.0,0.0,4.5,0.0,3.0,1.5,0.0,1.5,0.0,0.0
ATF4 (human),0.0,0.0,0.0,0.0,1.5,1.5,4.5,1.5,0.0,0.0,3.0,0.0
YY1 (human),0.0,0.0,1.5,0.0,0.75,2.25,4.5,0.75,0.0,0.75,0.75,0.75
SREBF1 (mouse),0.0,1.5,0.0,1.5,0.0,1.5,1.5,4.5,0.0,0.0,1.5,0.0
SP3 (human),0.0,0.0,0.0,0.0,0.0,3.0,4.5,4.5,0.0,0.0,0.0,0.0
WT1 (human),1.090909090909091,0.0,0.0,0.0,1.090909090909091,1.090909090909091,2.181818181818182,4.363636363636364,0.0,1.090909090909091,1.090909090909091,0.0
PPARG (human),0.0,0.0,0.0,0.0,1.090909090909091,1.090909090909091,4.363636363636364,3.2727272727272725,0.0,0.0,1.090909090909091,1.090909090909091
PLAU (human),0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0
FOXJ1 (human),0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0
TCFAP2A (human),0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,4.0,0.0,1.3333333333333333,2.6666666666666665,0.0
