gene,acrophase_rad,acrophase_hour
2310022B05Rik,0.0338703658297463,0.13
Asb2,0.1130891558204867,0.43
Ccdc107,1.122331546099267,4.29
Chchd10,2.699272674685265,10.31
Cnn1,6.2400059715509855,23.84
Dst,5.930644068007087,22.65
E030013I19Rik,4.728831802839232,18.06
Fbxl22,1.4714879092499429,5.62
Fermt2,0.1518147798118345,0.58
Fibin,3.457661240059457,13.21
Itga9,0.2755333137375553,1.05
Kcnab1,0.9462561538222872,3.61
Limch1,0.5757346607835059,2.2
Lmcd1,0.1334728659984403,0.51
Mylk4,4.1614661362652114,15.9
Nexn,6.072579241394618,23.2
Nox4,4.0788408160136544,15.58
Nr4a1,1.2243981858511788,4.68
Ogn,5.979116843326771,22.84
Pdlim4,0.3339644376009545,1.28
Perp,3.422485265198373,13.07
Pfn1,2.5700169278364893,9.82
Ptprz1,6.004883789110838,22.94
Rassf3,0.3968243125769968,1.52
Rgs7bp,3.769920763079774,14.4
Rrad,0.6695772821313675,2.56
Scube3,0.1320451129843096,0.5
Smim5,2.4003993670056225,9.17
Sost,6.252171667090646,23.88
Tcap,2.577678692559953,9.85
Tgm2,5.368543366950503,20.51
Thra,0.8177438822707215,3.12
Ubc,0.1059562573608214,0.4
